6,8,5,6,8
6,7,4,6,8
7,8,6,7,8
8,8,7,8,8
4,5,3,4,5
7,8,5,7,8
7,8,6,7,9
6,7,5,6,7
8,8,7,8,9
6,7,6,6,7
7,8,7,8,9
5,6,4,7,8
7,8,6,7,8
7,7,6,7,7
7,8,7,7,8
6,7,5,7,8
8,8,7,8,8
8,9,6,8,9
7,8,6,7,8
5,6,5,7,7
8,9,6,8,9
6,6,5,6,7
7,8,6,7,8
7,7,7,7,7
5,5,5,5,5
5,5,5,5,5
5,6,5,6,6
4,4,4,4,4
5,5,5,5,5
6,6,6,6,6
8,8,8,8,8
6,7,6,7,7
6,6,5,6,6
6,6,5,6,6
5,5,5,5,5
5,5,5,5,5
6,6,5,6,6
9,8,9,9,8
6,6,5,6,6
5,6,5,5,6
7,6,7,7,6
7,7,7,7,6
6,6,5,6,6
8,8,8,8,8
7,8,6,7,8
5,6,5,5,6
8,8,8,8,8
4,4,4,4,4
7,7,7,7,7
7,7,6,7,7
6,6,6,6,6
7,7,7,7,7
6,6,6,6,6
7,7,7,7,7
7,8,7,7,8
7,7,7,7,7
9,9,9,9,9
7,7,6,7,7
6,6,5,6,6
7,7,7,7,7
7,8,5,7,8
6,7,6,7,7
8,10,6,8,9
7,8,6,7,7
6,6,5,6,6
7,7,6,7,7
9,9,8,9,9
5,6,5,5,6
8,9,7,8,9
6,6,5,7,8
6,6,6,6,6
8,8,7,8,8
7,8,7,8,8
6,7,6,7,7
7,8,6,7,8
8,8,8,8,9
5,5,5,6,6
4,4,4,4,4
4,4,3,4,5
5,5,4,6,6
6,7,6,6,7
4,4,4,4,4
4,4,3,4,4
6,6,6,6,6
8,10,7,9,10
4,4,4,4,4
4,4,4,4,4
8,8,7,8,8
6,6,6,6,7
5,5,5,5,5
8,8,7,8,9
5,6,4,6,7
6,6,5,6,6
6,6,6,6,6
8,9,7,8,9
11,12,10,10,11
8,8,8,8,9
6,7,5,7,7
5,6,4,7,8
7,8,7,8,8
8,9,7,8,10
10,11,9,11,11
6,6,6,6,6
5,5,5,5,6
6,6,5,6,6
10,11,9,10,11
7,8,6,7,8
8,8,7,8,8
5,6,5,6,6
6,7,6,7,7
7,8,6,8,8
5,5,4,6,7
5,6,5,6,6
5,5,5,5,6
9,10,8,10,11
8,8,8,8,9
6,7,5,6,7
7,7,7,7,7
7,7,7,7,7
5,6,5,6,6
11,10,11,11,11
7,8,7,8,8
7,7,7,7,7
7,8,7,9,9
8,8,7,8,8
8,9,8,9,10
10,10,10,11,11
7,7,6,7,8
9,9,8,9,9
9,10,9,10,11
8,8,7,8,8
7,7,7,7,7
9,9,9,9,9
7,7,7,8,8
7,7,7,7,7
6,6,5,7,7
10,10,9,10,10
9,9,8,9,10
11,12,9,11,13
7,7,6,7,7
9,10,9,10,10
6,7,6,6,7
9,10,9,10,10
10,10,9,10,11
7,8,7,8,8
6,7,6,7,7
8,8,8,8,8
10,10,10,10,10
7,7,7,7,7
8,9,7,8,9
7,7,6,7,8
7,8,7,7,8
8,8,7,9,9
6,7,6,7,7
9,9,8,9,9
8,9,8,8,9
9,9,8,9,10
8,8,8,9,9
7,8,7,8,9
7,7,6,7,8
8,9,7,8,9
7,8,6,7,9
8,9,8,9,9
7,7,7,7,7
8,9,8,9,9
8,9,7,8,9
9,10,8,10,10
7,7,7,7,7
7,8,6,8,9
6,7,5,6,7
5,6,5,5,6
7,7,6,7,7
6,6,5,6,7
6,6,5,6,6
5,6,5,5,6
7,7,6,7,8
6,6,5,6,7
7,8,7,7,8
5,6,4,6,7
6,6,5,6,6
6,7,6,6,7
5,6,5,6,6
6,7,5,6,7
6,6,6,6,6
6,6,5,6,6
5,6,5,5,6
6,7,5,6,7
7,8,6,7,8
7,8,6,8,8
5,6,5,5,6
6,6,5,6,6
6,6,6,6,6
5,5,5,7,6
6,6,5,6,7
6,7,5,7,8
8,9,7,8,9
7,7,6,7,8
5,6,5,6,6
7,7,6,7,8
7,7,7,8,8
8,9,7,9,10
6,6,6,7,7
7,8,6,8,8
8,9,7,9,10
8,10,7,9,10
8,9,7,9,9
9,10,8,9,10
9,10,8,9,9
7,7,7,8,8
8,8,7,8,8
10,10,10,10,10
9,9,8,9,9
7,7,7,7,7
8,8,8,9,9
11,12,11,11,12
7,7,7,8,8
9,9,9,9,9
8,8,8,10,10
9,9,8,9,9
8,8,8,8,8
10,11,9,10,11
7,8,7,8,8
8,8,7,8,8
10,11,9,10,11
7,7,7,7,8
7,7,6,7,8
9,8,9,9,8
6,6,5,7,7
6,6,6,6,6
8,9,8,8,9
8,8,8,8,8
8,8,7,8,9
6,6,6,6,7
9,9,9,9,9
8,8,8,8,8
8,8,8,8,8
8,8,7,8,8
6,6,5,7,7
7,8,7,7,8
9,9,8,9,10
8,8,9,9,8
6,6,5,7,7
10,11,10,10,11
8,8,7,8,8
9,10,8,9,10
7,7,7,7,7
6,6,6,7,8
9,10,8,9,10
7,7,6,7,8
10,10,9,10,10
7,7,7,7,7
8,9,7,8,9
6,6,5,6,7
8,8,7,8,8
8,8,7,8,7
8,8,8,9,9
8,9,8,8,9
9,11,8,10,11
7,8,7,7,8
9,9,8,9,8
9,9,8,9,9
9,10,9,10,10
7,7,7,7,8
7,7,7,8,8
12,12,11,12,12
11,12,10,11,12
8,8,8,8,8
8,8,8,9,9
7,8,6,7,8
6,7,6,7,7
7,7,7,7,8
6,7,4,6,8
7,8,5,6,8
5,6,4,5,7
5,6,4,5,7
6,7,5,6,8
